player,school,passer_eff_rate,yrs_played,from,to,comp,att,comp_%,pass_yds,pass_td,int,tot_plays,tot_yds,tot_td,pyds_att,adj_pyds_att,pass-yds-per-cmp,yds_pgame,yds_pplay
Kevin Sweeney,Fresno State,,4,1982,1986,731.0,1336.0,,10623.0,,48.0,1700.0,10252.0,,,,14.5,,
Mark Herrmann,Purdue,,3,1977,1980,729.0,1242.0,,9354.0,,75.0,,,,,,,,
Michael Pratt,Tulane,148.0,3,2020,2023,729.0,,,9602.0,90.0,,1650.0,10747.0,119.0,,8.5,,,
Ian Book,Notre Dame,147.0,4,2016,2020,728.0,,63.8,,72.0,,1501.0,10466.0,89.0,,8.3,,,7.0
Brad Tayles,Western Michigan,,0,0,0,,1370.0,,,,67.0,1675.0,,,,,,,
Reggie Ball,Georgia Tech,,0,0,0,,1363.0,,,,55.0,1858.0,,,,,,,
T.J. Rubley,Tulsa,,0,0,0,,1336.0,,9324.0,73.0,54.0,1541.0,,,,,13.7,,
Jason Martin,Louisiana Tech,,0,0,0,,1320.0,,,,55.0,,,,,,,,
Kyle Boller,California,,0,0,0,,1301.0,,,,48.0,1576.0,,,,,,,
Glenn Foley,Boston College,,0,0,0,,1275.0,,10039.0,72.0,60.0,,9719.0,,,,14.3,,6.7
Doug Flutie,Boston College,,0,0,0,,1271.0,,10579.0,67.0,54.0,1558.0,11318.0,,8.3,,15.6,240.4,7.3
Jose Fuentes,Utah State,,0,0,0,,1270.0,,9168.0,,43.0,,,,,,,254.7,
Todd Ellis,South Carolina,,0,0,0,,1266.0,,9519.0,,66.0,1517.0,,,,,,232.2,
Kyle Shurmur,Vanderbilt,,0,0,0,,1264.0,,,,,,,,,,,,
David Klingler,Houston,,0,0,0,,1261.0,,9430.0,91.0,,,,93.0,,,,294.7,
Cody Hawkins,Colorado,,0,0,0,,1253.0,,,,43.0,,,,,,,,
Brian Lewerke,Michigan State,,0,0,0,,1249.0,,,,,1595.0,,,,,,,
Logan Thomas,Virginia Tech,,0,0,0,,1248.0,,,,,1743.0,10362.0,,,,,,
Jake Delhomme,Louisiana,,0,0,0,,1246.0,,9216.0,,57.0,,,,,,14.1,,
Darrell Hackney,UAB,,0,0,0,,1246.0,,9886.0,71.0,,1501.0,9978.0,,,,14.2,241.1,6.6
Gary Nova,Rutgers,,0,0,0,,1245.0,,9258.0,73.0,51.0,,,,,,,,
Jamie Barnette,North Carolina State,,0,0,0,,1243.0,,9461.0,,40.0,1559.0,9638.0,,,,14.9,,
