Player,Years Active,Career Earnings,Cap-Inflated Earnings,Earnings By Team
Tom Savage,2014‑2018,"$3,034,761","$5,008,108","Texans: $2,343,584 49ers: $248,824 Bengals: $207,353 Saints: $145,000 Lions: $90,000"
Cody Kessler,2016‑2019,"$3,027,523","$4,597,324","Browns: $1,718,837 Jaguars: $758,098 Patriots: $508,235 Eagles: $42,353"
Trace McSorley,2019‑2023,"$2,922,520","$3,778,649","Ravens: $1,465,964 Cardinals: $1,295,556 Bears: $80,500 Steelers: $80,500"
Ryan Nassib,2013‑2016,"$2,875,953","$5,287,661","Giants: $2,613,600 Jaguars: $182,353 Saints: $80,000"
Kellen Mond,2021‑2023,"$2,872,272","$3,823,499","Vikings: $1,818,844 Browns: $897,428 Colts: $156,000"
Davis Webb,2017‑2022,"$2,776,247","$3,977,370","Giants: $1,628,086 Bills: $593,162 Jets: $554,999"
Christian Hackenberg,2016‑2017,"$2,769,544","$4,465,169","Jets: $2,701,144 Bengals: $68,400"
Malik Willis,2022‑,"$2,766,450","$3,265,640","Titans: $2,766,450"
Alex Tanney,2015‑2020,"$2,754,513","$4,091,233","Giants: $1,692,496 Titans: $924,017 Cowboys: $72,000 Colts: $59,400 Bills: $6,600"
Desmond Ridder,2022‑,"$2,734,107","$3,267,999","Falcons: $2,734,107"
Garrett Gilbert,2014‑2022,"$2,668,585","$3,760,660","Browns: $762,000 Cowboys: $529,412 Patriots: $508,400 Panthers: $376,729 Commanders: $204,444 Rams: $150,400 Raiders: $127,200 Lions: $10,000"
Jacob Eason,2020‑2023,"$2,543,732","$3,332,912","Colts: $1,663,066 Seahawks: $520,000 Panthers: $179,944 Giants: $100,222 49ers: $80,500"
Sam Ehlinger,2021‑,"$2,474,037","$3,072,249","Colts: $2,474,037"
Bryce Petty,2015‑2017,"$2,253,108","$3,745,795","Jets: $2,128,696 Dolphins: $124,412"
Bailey Zappe,2022‑,"$2,222,072","$2,647,019","Patriots: $2,222,072"
Dan Orlovsky,2015‑2016,"$2,175,000","$3,715,204","Lions: $2,115,000 Rams: $60,000"
Ian Book,2021‑2022,"$2,170,580","$2,891,946","Saints: $1,333,580 Eagles: $825,000 Patriots: $12,000"
Feleipe Franks,2021‑,"$2,109,444","$2,634,166","Falcons: $2,000,000 Panthers: $109,444"
Jake Luton,2020‑2022,"$2,092,299","$2,588,611","Jaguars: $791,756 Saints: $610,166 Panthers: $354,111 Seahawks: $262,666 Dolphins: $73,600"
Tarvaris Jackson,2015‑2015,"$2,000,000","$3,711,997","Seahawks: $1,500,000 Bills: $500,000"
Ryan Finley,2019‑2020,"$1,959,656","$2,613,167","Bengals: $1,959,656"
Sam Howell,2022‑,"$1,936,600","$2,296,829","Commanders: $1,936,600"
Kyle Lauletta,2018‑2020,"$1,931,158","$2,721,830","Giants: $1,187,700 Eagles: $367,058 Browns: $230,800 Jaguars: $128,800 Falcons: $16,800"
Ricky Stanzi,2011‑2015,"$1,754,852","$3,652,750","Chiefs: $1,063,052 Jaguars: $567,000 Lions: $112,200 Texans: $12,600"
Connor Cook,2016‑2018,"$1,748,688","$2,782,362","Raiders: $1,609,888 Bengals: $60,800 Lions: $40,000 Panthers: $38,000"
Jake Rudock,2016‑2020,"$1,732,895","$2,599,237","Lions: $1,331,977 Dolphins: $400,918"
Jake Fromm,2020‑,"$1,717,804","$2,200,876","Bills: $1,023,360 Commanders: $434,444 Giants: $260,000"
Bryce Perkins,2020‑2022,"$1,660,282","$2,161,538","Rams: $1,660,282"
Hendon Hooker,2023‑,"$1,659,292","$1,885,156","Lions: $1,659,292"
Jake Browning,2019‑,"$1,658,201","$2,048,788","Bengals: $1,205,401 Vikings: $452,800"
Skylar Thompson,2022‑,"$1,657,208","$1,954,097","Dolphins: $1,657,208"
Zach Mettenberger,2014‑2016,"$1,655,116","$2,942,800","Titans: $1,055,116 Steelers: $600,000"
Brock Purdy,2022‑,"$1,652,012","$1,947,723","49ers: $1,652,012"
